sample_index,label,nearest_neighbor_index,nearest_neighbor_label,nearest_neighbor_distance,same_label
0,7,468,78,0.018765507,False
1,4,202,12,0.03702576,False
2,99,98,42,0.04170162,False
3,43,1118,51,0.054587137,False
4,85,396,29,0.007888425,False
5,47,665,17,0.036549408,False
6,83,409,71,0.046927106,False
7,39,601,94,0.029248007,False
8,23,1897,20,0.07348268,False
9,5,1027,91,0.017837308,False
10,93,850,98,0.026037343,False
11,62,1417,32,0.044266943,False
12,21,21,3,0.031039482,False
13,77,952,11,0.06425492,False
14,13,665,17,0.051961247,False
15,94,497,74,0.013549255,False
16,34,1593,3,0.041233033,False
17,13,1960,11,0.02672197,False
18,57,1071,17,0.01917087,False
19,55,1480,69,0.022659091,False
20,3,69,90,0.030625785,False
21,3,12,21,0.031039482,False
22,25,1490,100,0.040134225,False
23,77,187,11,0.029847128,False
24,37,838,30,0.04030909,False
25,95,732,2,0.200417,False
26,11,1934,87,0.028433736,False
27,92,1242,21,0.057842266,False
28,7,1421,83,0.043778166,False
29,35,1207,61,0.12377328,False
30,63,1194,81,0.0394527,False
31,43,48,98,0.035818018,False
32,25,1721,46,0.032182142,False
33,31,1950,79,0.0602884,False
34,59,420,12,0.032089405,False
35,69,1382,30,0.027122693,False
36,35,986,21,0.031985216,False
37,36,987,94,0.056169324,False
38,61,371,93,0.030506834,False
39,74,934,56,0.042391982,False
40,0,1144,85,0.05934576,False
41,100,1512,42,0.09766235,False
42,13,63,9,0.07395809,False
43,8,941,59,0.020741899,False
44,97,575,53,0.03537934,False
45,1,1887,1,0.036933884,True
46,33,667,61,0.08850291,False
47,66,1583,78,0.026421385,False
48,98,346,93,0.032048512,False
49,75,218,83,0.03232813,False
50,100,1539,56,0.08393042,False
51,44,1297,26,0.0398331,False
52,100,994,30,0.042179134,False
53,64,1334,90,0.031047164,False
54,72,516,95,0.04498817,False
55,24,1168,96,0.021506557,False
56,2,715,30,0.030769467,False
57,97,186,69,0.031557478,False
58,66,855,36,0.04282146,False
59,9,19,55,0.03120801,False
60,7,576,35,0.03965463,False
61,84,15,94,0.017152509,False
62,40,879,72,0.06537318,False
63,9,1558,12,0.06843432,False
64,18,1556,4,0.044634353,False
65,59,874,50,0.08272297,False
66,36,1564,48,0.055621214,False
67,46,978,77,0.034144793,False
68,95,1128,59,0.015625,False
69,90,20,3,0.030625785,False
70,55,988,45,0.043634973,False
71,25,605,47,0.054204717,False
72,98,1024,43,0.038603567,False
73,12,1629,57,0.023156065,False
74,22,1718,74,0.08701139,False
75,0,1931,91,0.025846642,False
76,72,1272,29,0.042102758,False
77,98,723,86,0.05327862,False
78,86,117,75,0.011430371,False
79,53,1232,36,0.042679247,False
80,38,59,9,0.06564977,False
81,5,367,57,0.06328754,False
82,35,187,11,0.037379835,False
83,70,719,87,0.031131519,False
84,47,1874,74,0.04991228,False
85,59,123,75,0.020664165,False
86,49,1008,46,0.16284674,False
87,88,975,51,0.058111623,False
88,44,593,44,0.04290906,True
89,93,852,76,0.049286183,False
90,39,727,28,0.060495663,False
91,82,407,60,0.05496581,False
92,32,1043,45,0.012069538,False
93,12,1008,46,0.11012393,False
94,27,516,95,0.05238054,False
95,32,1946,14,0.049711253,False
96,85,686,78,0.038399216,False
97,47,1122,98,0.042656895,False
98,42,220,9,0.04018172,False
99,98,614,62,0.06648339,False
100,5,1062,72,0.02441162,False
101,84,1973,16,0.0404832,False
102,81,1696,72,0.09328153,False
103,83,1705,4,0.08871077,False
104,37,537,88,0.042526744,False
105,11,1802,91,0.040889,False
106,29,302,68,0.035283178,False
107,58,504,19,0.041926842,False
108,14,200,78,0.026235748,False
109,3,1879,44,0.06522074,False
110,97,1835,83,0.027162222,False
111,30,722,17,0.029707009,False
112,58,1287,57,0.40683088,False
113,77,408,32,0.07035487,False
114,99,422,46,0.011590896,False
115,87,1898,1,0.049894363,False
116,57,1561,54,0.04625289,False
117,75,78,86,0.011430371,False
118,6,1371,12,0.026326466,False
119,26,301,92,0.054341994,False
120,35,1224,33,0.05271629,False
121,2,1239,59,0.024868812,False
122,61,227,41,0.020303342,False
123,75,85,59,0.020664165,False
124,21,1636,41,0.019864107,False
125,61,1079,94,0.064107254,False
126,6,303,80,0.035967473,False
127,65,1379,95,0.013819308,False
128,32,132,39,0.038891226,False
129,9,943,15,0.03980316,False
130,89,572,87,0.0384349,False
131,44,861,76,0.037065983,False
132,39,1295,15,0.03121374,False
133,52,1042,63,0.04749649,False
134,38,1605,97,0.093575634,False
135,11,500,74,0.045577858,False
136,81,1205,81,0.0473809,True
137,19,1598,61,0.050057758,False
138,6,1561,54,0.050680205,False
139,52,1084,11,0.036353186,False
140,92,679,22,0.037695818,False
141,18,799,6,0.044273674,False
142,94,167,49,0.06680537,False
143,2,1884,51,0.039686184,False
144,68,1495,40,0.0074051516,False
145,34,1396,69,0.045293186,False
146,52,1612,66,0.046535533,False
147,100,1022,69,0.04895126,False
148,86,1464,62,0.033494458,False
149,62,1072,5,0.04081751,False
150,71,1035,38,0.039423987,False
151,82,1196,93,0.042895168,False
152,91,1402,79,0.0647539,False
153,2,1206,25,0.0103752585,False
154,38,338,27,0.037077237,False
155,5,1090,18,0.030974124,False
156,90,1022,69,0.05988765,False
157,13,1934,87,0.040634565,False
158,88,723,86,0.043010347,False
159,54,1308,50,0.03495221,False
160,60,34,59,0.0354147,False
161,1,1626,1,0.012946361,True
162,65,327,49,0.040937077,False
163,64,1105,87,0.045789223,False
164,5,860,49,0.036086593,False
165,20,1726,51,0.025791235,False
166,11,1651,18,0.12964994,False
167,49,699,73,0.05308136,False
168,11,1818,90,0.060600013,False
169,9,885,92,0.10350296,False
170,87,1179,46,0.02173263,False
171,28,1366,35,0.027439496,False
172,65,976,60,0.078825295,False
173,35,273,97,0.054952797,False
174,36,301,92,0.04134707,False
175,32,354,65,0.042729493,False
176,28,872,16,0.057821654,False
177,100,532,97,0.034676563,False
178,41,1345,39,0.03734314,False
179,4,926,84,0.029442996,False
180,86,657,4,0.036487386,False
181,44,1743,42,0.052528262,False
182,35,1812,53,0.03182455,False
183,70,1239,59,0.02758681,False
