label,count
0,16
1,16
2,27
3,15
4,17
5,26
6,18
7,18
8,14
9,22
10,9
11,28
12,30
13,21
14,25
15,17
16,26
17,22
18,25
19,22
20,20
21,31
22,22
23,24
24,20
25,25
26,18
27,17
28,16
29,24
30,24
31,11
32,14
33,19
34,13
35,21
36,22
37,21
38,17
39,24
40,25
41,20
42,18
43,17
44,32
45,15
46,23
47,21
48,11
49,17
50,18
51,20
52,18
53,16
54,24
55,19
56,19
57,21
58,13
59,23
60,15
61,20
62,17
63,27
64,16
65,17
66,28
67,14
68,18
69,18
70,12
71,18
72,18
73,13
74,19
75,20
76,19
77,20
78,26
79,20
80,21
81,23
82,19
83,25
84,12
85,15
86,17
87,17
88,20
89,12
90,17
91,18
92,26
93,21
94,25
95,18
96,18
97,18
98,19
99,20
100,27
